Field_ID,Species,LiveSeed_Per_Acre,Origin,
Gage11018A,Echinacea pallida,0.0625,NA,
Gage11018A,Rosa arkansana,0.00125,NA,
Gage11018A,Echinacea purpurea,0.1,NA,
Gage11018A,Dalea purpurea,0.1875,NA,
Gage11018A,Liatris aspera,0.00625,NA,
Gage11018A,Lespedeza capitata,0.0125,NA,
Gage11018A,Sphaeralcea coccinea,0.00375,NA,
Gage11018A,Mimosa nuttallii,0.025,NA,
Gage11018A,Chamaecrista fasciculata,0.25,NA,
Gage11018A,Symphyotrichum laeve,0.0125,NA,
Gage11018A,Eupatorium altissimum,0.00625,NA,
Gage11018A,Liatris pycnostachya,0.0125,NA,
Gage11018A,Ratibida columnifera,0.1,NA,
Gage11018A,Symphyotrichum ericoides,0.0025,IA,
Gage11018A,Dalea candida,0.1875,MN,
Gage11018A,Monarda fistulosa,0.0125,IA,
Gage11018A,Asclepias tuberosa,0.0625,CA,
Gage11018A,Amorpha canescens,0.0625,NE,
Gage11018A,Desmanthus illinoensis,0.125,IA,
Gage11018A,Oenothera rhombipetala,0.00625,NE,
Gage11018A,Penstemon grandiflorus,0.0125,NE,
Gage11018A,Ceanothus americanus,0.00625,IA,
Gage11018A,Ratibida columnifera,0.025,OR,
Gage11018A,Liatris spicata,0.00625,NL - Netherlands?,
Gage11018A,Symphyotrichum novae-angliae,0.00625,CO,
Gage11018A,Achillea millefolium,0.00625,NL - Netherlands?,
Gage11018A,Coreopsis tinctoria,0.025,OR,
Gage11018A,Coreopsis tinctoria,0.0125,OR,
Gage11018A,Trifolium pratense,0.225,OR,
Harlan11008A,Penstemon grandiflorus,0.01,NE,
Harlan11008A,Eupatorium perfoliatum,0.005,NE,
Harlan11008A,Brickellia eupatorioides,0.005,IA,
Harlan11008A,Asclepias syriaca,0.03,USA,
Harlan11008A,Amorpha canescens,0.02,NE,
Harlan11008A,Bouteloua gracilis,0.05,MN,
Harlan11008A,Gaillardia aristata,0.05,CO,
Harlan11008A,Andropogon gerardii,0.4,MO,
Harlan11008A,Baptisia alba,0.01,IA,
Harlan11008A,Coreopsis lanceolata,0.06,CO,
Harlan11008A,Dalea purpurea,0.15,KS,
Harlan11008A,Koeleria macrantha,0.01,CAN,
Harlan11008A,Schizachyrium scoparium,0.3,MO,
Harlan11008A,Bouteloua curtipendula,0.4,KS,
Harlan11008A,Oenothera rhombipetala,0.01,NE,
Harlan11008A,Verbena stricta,0.03,NE,
Harlan11008A,Symphyotrichum ericoides,0.001,IA,
Harlan11008A,Ratibida pinnata,0.1,IA,
Harlan11008A,Artemisia ludoviciana,0.005,CO,
Harlan11008A,Vicia americana,0.1,FL,
Harlan11008A,Astragalus canadensis,0.06,MN,
Harlan11008A,Rudbeckia hirta,0.04,USA,
Harlan11008A,Symphyotrichum oblongifolium,0.005,PA,
Harlan11008A,Oenothera biennis,0.04,IA,
Harlan11008A,Trifolium pratense,0.3,USA,
Harlan11008A,Dalea candida,0.1,MN,
Harlan11008A,Achillea millefolium,0.03,USA,
Harlan11008A,Pycnanthemum virginianum,0.005,USA,
Harlan11008A,Ratibida columnifera,0.05,CO,
Harlan11008A,Solidago rigida,0.01,USA,
Harlan11008A,Desmanthus illinoensis,0.1,NE,
Harlan11008A,Chamaecrista fasciculata,0.2,KS,
Harlan11008A,Coreopsis tinctoria,0.03,OR,
Harlan11008A,Salvia azurea,0.01,OK,
Harlan11008A,Monarda citriodora,0.03,USA,
Harlan11008A,Monarda fistulosa,0.02,IA,
Harlan11007A,Penstemon grandiflorus,0.01,NE,
Harlan11007A,Eupatorium perfoliatum,0.005,NE,
Harlan11007A,Brickellia eupatorioides,0.005,IA,
Harlan11007A,Asclepias syriaca,0.03,USA,
Harlan11007A,Amorpha canescens,0.02,NE,
Harlan11007A,Bouteloua gracilis,0.05,MN,
Harlan11007A,Gaillardia aristata,0.05,CO,
Harlan11007A,Andropogon gerardii,0.4,MO,
Harlan11007A,Baptisia alba,0.01,IA,
Harlan11007A,Coreopsis lanceolata,0.06,CO,
Harlan11007A,Dalea purpurea,0.15,KS,
Harlan11007A,Koeleria macrantha,0.01,CAN,
Harlan11007A,Schizachyrium scoparium,0.3,MO,
Harlan11007A,Bouteloua curtipendula,0.4,KS,
Harlan11007A,Oenothera rhombipetala,0.01,NE,
Harlan11007A,Verbena stricta,0.03,NE,
Harlan11007A,Symphyotrichum ericoides,0.001,IA,
Harlan11007A,Ratibida pinnata,0.1,IA,
Harlan11007A,Artemisia ludoviciana,0.005,CO,
Harlan11007A,Vicia americana,0.1,FL,
Harlan11007A,Astragalus canadensis,0.06,MN,
Harlan11007A,Rudbeckia hirta,0.04,USA,
Harlan11007A,Symphyotrichum oblongifolium,0.005,PA,
Harlan11007A,Oenothera biennis,0.04,IA,
Harlan11007A,Trifolium pratense,0.3,USA,
Harlan11007A,Dalea candida,0.1,MN,
Harlan11007A,Achillea millefolium,0.03,USA,
Harlan11007A,Pycnanthemum virginianum,0.005,USA,
Harlan11007A,Ratibida columnifera,0.05,CO,
Harlan11007A,Solidago rigida,0.01,USA,
Harlan11007A,Desmanthus illinoensis,0.1,NE,
Harlan11007A,Chamaecrista fasciculata,0.2,KS,
Harlan11007A,Coreopsis tinctoria,0.03,OR,
Harlan11007A,Salvia azurea,0.01,OK,
Harlan11007A,Monarda citriodora,0.03,USA,
Harlan11007A,Monarda fistulosa,0.02,IA,
Webster11004,Penstemon grandiflorus,0.01,NE,
Webster11004,Rosa arkansana,0.01,NE,
Webster11004,Helianthus pauciflorus,0.01,NE,
Webster11004,Dalea villosa,0.01,NE,
Webster11004,Amorpha canescens,0.03,NE,
Webster11004,Oenothera rhombipetala,0.005,NE,
Webster11004,Asclepias syriaca,0.01,NE,
Webster11004,Oenothera biennis,0.02,NE,
Webster11004,Eupatorium perfoliatum,0.005,NE,
Webster11004,Helianthus mollis,0.01,NE,
Webster11004,Solidago rigida,0.01,NE,
Webster11004,Artemisia frigida,0.01,USA,
Webster11004,Heliopsis helianthoides,0.05,USA,
Webster11004,Vicia americana,0.1,FL,
Webster11004,Rudbeckia hirta,0.03,USA,
Webster11004,Bouteloua gracilis,0.05,MN,
Webster11004,Astragalus canadensis,0.03,MN,
Webster11004,Dalea purpurea,0.1,MN,
Webster11004,Dalea candida,0.1,MN,
Webster11004,Achillea millefolium,0.03,USA,
Webster11004,Rosa woodsii,0.01,USA,
Webster11004,Ratibida columnifera,0.04,CO,
Webster11004,Bouteloua curtipendula,0.15,KS,
Webster11004,Chamaecrista fasciculata,0.2,IA,
Webster11004,Artemisia ludoviciana,0.01,CO,
Webster11004,Trifolium pratense,0.3,OR,
Webster11004,Monarda fistulosa,0.02,USA,
Webster11004,Koeleria macrantha,0.03,OR,
Webster11004,Helianthus maximiliani,0.02,OK,
Webster11004,Schizachyrium scoparium,0.25,SD,
Webster11004,Desmanthus illinoensis,0.15,OK,
Webster11004,Verbena stricta,0.01,NE,
Webster11004,Ratibida pinnata,0.1,IA,
Webster11004,Andropogon hallii,0.3,NE,
Furnas11006,Oenothera rhombipetala,0.01,NE,
Furnas11006,Eupatorium perfoliatum,0.005,NE,
Furnas11006,Vernonia baldwinii,0.01,NE,
Furnas11006,Penstemon grandiflorus,0.01,NE,
Furnas11006,Symphyotrichum ericoides,0.001,IA,
Furnas11006,Asclepias syriaca,0.03,KS,
Furnas11006,Monarda fistulosa,0.02,USA,
Furnas11006,Amorpha canescens,0.02,NE,
Furnas11006,Baptisia alba,0.01,IA,
Furnas11006,Solidago rigida,0.01,USA,
Furnas11006,Monarda citriodora,0.03,USA,
Furnas11006,Salvia azurea,0.01,OK,
Furnas11006,Coreopsis tinctoria,0.03,CO,
Furnas11006,Echinacea angustifolia,0.01,OR,
Furnas11006,Pycnanthemum virginianum,0.005,USA,
Furnas11006,Brickellia eupatorioides,0.005,IA,
Furnas11006,Artemisia ludoviciana,0.005,CO,
Furnas11006,Symphyotrichum oblongifolium,0.005,PA,
Furnas11006,Koeleria macrantha,0.01,CAN,
Furnas11006,Coreopsis lanceolata,0.06,CO,
Furnas11006,Andropogon gerardii,0.4,MO,
Furnas11006,Trifolium pratense,0.3,OR,
Furnas11006,Schizachyrium scoparium,0.3,NE,
Furnas11006,Chamaecrista fasciculata,0.2,KS,
Furnas11006,Dalea purpurea,0.15,MN,
Furnas11006,Dalea candida,0.1,MN,
Furnas11006,Desmanthus illinoensis,0.1,IA,
Furnas11006,Verbena stricta,0.03,NE,
Furnas11006,Vicia americana,0.1,FL,
Furnas11006,Bouteloua curtipendula,0.4,KS,
Furnas11006,Astragalus canadensis,0.06,MN,
Furnas11006,Ratibida columnifera,0.05,CO,
Furnas11006,Bouteloua gracilis,0.05,MN,
Furnas11006,Gaillardia aristata,0.05,CO,
Furnas11006,Oenothera biennis,0.04,IA,
Furnas11006,Rudbeckia hirta,0.04,USA,
Furnas11006,Achillea millefolium,0.03,USA,
Furnas11006,Ratibida pinnata,0.1,IA,
Furnas11008,Oenothera rhombipetala,0.01,NE,
Furnas11008,Eupatorium perfoliatum,0.005,NE,
Furnas11008,Vernonia baldwinii,0.01,NE,
Furnas11008,Penstemon grandiflorus,0.01,NE,
Furnas11008,Symphyotrichum ericoides,0.001,IA,
Furnas11008,Asclepias syriaca,0.03,KS,
Furnas11008,Monarda fistulosa,0.02,USA,
Furnas11008,Amorpha canescens,0.02,NE,
Furnas11008,Baptisia alba,0.01,IA,
Furnas11008,Solidago rigida,0.01,USA,
Furnas11008,Monarda citriodora,0.03,USA,
Furnas11008,Salvia azurea,0.01,OK,
Furnas11008,Coreopsis tinctoria,0.03,CO,
Furnas11008,Echinacea angustifolia,0.01,OR,
Furnas11008,Pycnanthemum virginianum,0.005,USA,
Furnas11008,Brickellia eupatorioides,0.005,IA,
Furnas11008,Artemisia ludoviciana,0.005,CO,
Furnas11008,Symphyotrichum oblongifolium,0.005,PA,
Furnas11008,Koeleria macrantha,0.01,CAN,
Furnas11008,Coreopsis lanceolata,0.06,CO,
Furnas11008,Andropogon gerardii,0.4,MO,
Furnas11008,Trifolium pratense,0.3,OR,
Furnas11008,Schizachyrium scoparium,0.3,NE,
